Raid Report,Street Address,City ,State
Report-5375: Dec. 17 Ainslie and Pulaski,Ainslie and Pulaski,,
"Report-5377: Dec. 17 5858 W Roosevelt Rd, Chicago, IL 60644","5858 W Roosevelt Rd, Chicago, IL 60644",,
Report-5374: Dec. 17 2086 North Milwaukee Avenue,2086 North Milwaukee Avenue,,
"Report-5376: Dec. 17 5622 W Roosevelt Rd, Chicago, IL 60644","5622 W Roosevelt Rd, Chicago, IL 60644",,
"Report-5379: Dec. 17 2803 S Cicero Ave, 60804","2803 S Cicero Ave, 60804",,
"Report-5371: Dec. 17 W. Ida B. Wells Dr., Chicago, IL 60607","W. Ida B. Wells Dr., Chicago, IL 60607",,
Report-5372: Dec. 17 ,,,
"Report-5373: Dec. 17 Central Exit, E on 290, towards the city","Central Exit, E on 290, towards the city",,
Report-5395: Dec. 17 west on Touhy by Lincoln,west on Touhy by Lincoln,,
Report-5364: Dec. 17 ,,,
Report-5365: Dec. 17 Kenilworth and Riverside ,Kenilworth and Riverside ,,
"Report-5370: Dec. 17 
Lawrence and Pulaski, 60630","
Lawrence and Pulaski, 60630",,
Report-5361: Dec. 17 n/a,n/a,,
Report-5362: Dec. 17 n/a,n/a,,
Report-5363: Dec. 17 Walmart in Palatine,Walmart in Palatine,,
Report-5360: Dec. 17 COSTCO IN NOTTH RIVERSIDE,COSTCO IN NOTTH RIVERSIDE,,
"Report-5399: Dec. 17 1061 Ferrari Dr, Bensenville, IL 60106-3705, United States","1061 Ferrari Dr, Bensenville, IL 60106-3705, United States",,
"Report-5351: Dec. 16 W Argyle St & N Winthrop Ave Chicago, IL 60640","W Argyle St & N Winthrop Ave Chicago, IL 60640",,
"Report-5467: Dec. 16 W 31st St & S Western Ave, Chicago, IL 60608","W 31st St & S Western Ave, Chicago, IL 60608",,
"Report-5353: Dec. 16 4626 W Diversey Ave, Chicago, IL 60639","4626 W Diversey Ave, Chicago, IL 60639",,
"Report-5354: Dec. 16 2531 W Cortez St, Chicago, IL 60622","2531 W Cortez St, Chicago, IL 60622",,
"Report-5484: Dec. 16 Joliet, IL 60432","Joliet, IL 60432",,
"Report-5485: Dec. 16 7401-7461 Canal Bank Dr, Berwyn, IL 60402","7401-7461 Canal Bank Dr, Berwyn, IL 60402",,
"Report-5389: Dec. 16 S California Ave & W 47th St Chicago, IL 60632","S California Ave & W 47th St Chicago, IL 60632",,
"Report-5386: Dec. 16 S Elmwood Dr & Ridgeway Ave, Aurora, IL 60506","S Elmwood Dr & Ridgeway Ave, Aurora, IL 60506",,
"Report-5387: Dec. 16 464 Arlingon Ave, Elgin, IL 60120","464 Arlingon Ave, Elgin, IL 60120",,
"Report-5391: Dec. 16 4242 W 42nd Pl, Chicago, IL 60632","4242 W 42nd Pl, Chicago, IL 60632",,
"Report-5483: Dec. 16 5130 S Hoyne Ave, Chicago, IL 60609","5130 S Hoyne Ave, Chicago, IL 60609",,
"Report-5482: Dec. 16 Rosemont, IL 60018","Rosemont, IL 60018",,
Report-5388: Dec. 16 4034 W 51st st Chicago IL 60632,4034 W 51st st Chicago IL 60632,,
"Report-5392: Dec. 16 4653 S Western Blvd, Chicago, IL 60609","4653 S Western Blvd, Chicago, IL 60609",,
"Report-5420: Dec. 16 3050 W 26th St, Chicago, IL 60623","3050 W 26th St, Chicago, IL 60623",,
"Report-5468: Dec. 16 Cermak Rd & S Oak Park Ave Berwyn, IL 60402","Cermak Rd & S Oak Park Ave Berwyn, IL 60402",,
"Report-5471: Dec. 16 2100 S Laramie Ave, Cicero, IL 60804","2100 S Laramie Ave, Cicero, IL 60804",,
"Report-5481: Dec. 16 S Sacramento Dr & W Ogden Ave, Chicago, IL 60623","S Sacramento Dr & W Ogden Ave, Chicago, IL 60623",,
"Report-5417: Dec. 16 3856 S Archer Ave, Chicago, IL 60632","3856 S Archer Ave, Chicago, IL 60632",,
"Report-5469: Dec. 16 S Homan Ave & W 26th St Chicago, IL 60623","S Homan Ave & W 26th St Chicago, IL 60623",,
Report-5416: Dec. 16 1653 West 43rd St Chicago IL 60609,1653 West 43rd St Chicago IL 60609,,
"Report-5472: Dec. 16 863 Des Plaines Ave, Forest Park, IL 60130","863 Des Plaines Ave, Forest Park, IL 60130",,
"Report-5422: Dec. 16 S Harlem Ave & Jackson Blvd Oak Park, IL 60304","S Harlem Ave & Jackson Blvd Oak Park, IL 60304",,
"Report-5474: Dec. 16 1345 S Harlem Ave, Berwyn, IL 60402","1345 S Harlem Ave, Berwyn, IL 60402",,
"Report-5475: Dec. 16 S Avers Ave & W 27th St Chicago, IL 60623","S Avers Ave & W 27th St Chicago, IL 60623",,
Report-5477: Dec. 16 ,,,
"Report-5478: Dec. 16 4747 S Marshfield Ave, Chicago, IL 60609","4747 S Marshfield Ave, Chicago, IL 60609",,
"Report-5479: Dec. 16 2911 W 47th St, Chicago, IL 60632","2911 W 47th St, Chicago, IL 60632",,
"Report-5480: Dec. 16 4555 S Western Blvd, Chicago, IL 60609","4555 S Western Blvd, Chicago, IL 60609",,
"Report-5466: Dec. 16 500 W Madison St 2nd floor, Chicago, IL 60661","500 W Madison St 2nd floor, Chicago, IL 60661",,
"Report-5473: Dec. 16 27th St, Chicago, IL 60623","27th St, Chicago, IL 60623",,
"Report-5465: Dec. 16 5336 S State St, Chicago, IL 60609","5336 S State St, Chicago, IL 60609",,
"Report-5470: Dec. 16 S Kedvale Ave & W 26th St, Chicago, IL 60623","S Kedvale Ave & W 26th St, Chicago, IL 60623",,
"Report-5464: Dec. 16 2700 International Dr, West Chicago, IL 60185","2700 International Dr, West Chicago, IL 60185",,
"Report-5454: Dec. 16 Chicago, IL 60623","Chicago, IL 60623",,
"Report-5453: Dec. 16 5042 S Artesian Ave, Chicago, IL 60632","5042 S Artesian Ave, Chicago, IL 60632",,
"Report-5452: Dec. 16 S Western Ave & W Garfield Blvd, Chicago, IL 60609","S Western Ave & W Garfield Blvd, Chicago, IL 60609",,
