ID,Address,City,State,oneline,zipcode,lat,lon
154,8050 S St Lawrence Ave,Chicago,IL,"8050 S St Lawrence Ave, Chicago, IL",60619,41.748439995437,-87.610077793421
155,650 E 85th St,Chicago,IL,"650 E 85th St, Chicago, IL",60619,41.740307034234,-87.608297063689
156,8555 S Michigan Ave,Chicago,IL,"8555 S Michigan Ave, Chicago, IL",60619,41.739057539524,-87.620983221655
157,8801 S Indiana Ave,Chicago,IL,"8801 S Indiana Ave, Chicago, IL",60619,41.734547459766,-87.619248921138
158,9301 S State St,Chicago,IL,"9301 S State St, Chicago, IL",60619,41.725330721115,-87.623754383435
159,1833 E 71st St,Chicago,IL,"1833 E 71st St, Chicago, IL",60649,41.765978932132,-87.579907063536
160,2423 E 75th St,Chicago,IL,"2423 E 75th St, Chicago, IL",60649,41.758939561166,-87.565830809461
161,2505 E 73rd St,Chicago,IL,"2505 E 73rd St, Chicago, IL",60649,41.762592672607,-87.563594679985
162,7419 S Exchange Ave,Chicago,IL,"7419 S Exchange Ave, Chicago, IL",60649,41.760590149898,-87.561300636748
163,7511 S South Shore Dr,Chicago,IL,"7511 S South Shore Dr, Chicago, IL",60649,41.759397276517,-87.555906511127
164,7511 S South Shore Dr,Chicago,IL,"7511 S South Shore Dr, Chicago, IL",60649,41.759397276517,-87.555906511127
165,7530 S South Shore Dr,Chicago,IL,"7530 S South Shore Dr, Chicago, IL",60649,41.760154330699,-87.556843606842
166,7736 S Burnham Ave,Chicago,IL,"7736 S Burnham Ave, Chicago, IL",60649,41.754793556089,-87.557117972923
167,7601 S Phillips Ave,Chicago,IL,"7601 S Phillips Ave, Chicago, IL",60649,41.757127404606,-87.565047761838
168,7601 S Phillips Ave,Chicago,IL,"7601 S Phillips Ave, Chicago, IL",60649,41.757127404606,-87.565047761838
169,8440 S Phillips Ave,Chicago,IL,"8440 S Phillips Ave, Chicago, IL",60617,41.74190489418,-87.564948077031
170,8440 S Phillips Ave,Chicago,IL,"8440 S Phillips Ave, Chicago, IL",60617,41.74190489418,-87.564948077031
171,8344 S Commercial Ave,Chicago,IL,"8344 S Commercial Ave, Chicago, IL",60617,41.744156406248,-87.552211806034
172,8255 S Houston Ave,Chicago,IL,"8255 S Houston Ave, Chicago, IL",60617,41.745496854179,-87.550273635315
173,8440 S Phillips Ave,Chicago,IL,"8440 S Phillips Ave, Chicago, IL",60617,41.74190489418,-87.564948077031
174,2710 E 89th St,Chicago,IL,"2710 E 89th St, Chicago, IL",60617,41.73370646291,-87.557915194626
175,2710 E 89th St,Chicago,IL,"2710 E 89th St, Chicago, IL",60617,41.73370646291,-87.557915194626
176,9177 S South Chicago,Chicago,IL,"9177 S South Chicago, Chicago, IL",60617,41.728677122315,-87.55376026381
177,8905 S Crandon Ave,Chicago,IL,"8905 S Crandon Ave, Chicago, IL",60617,41.732924149046,-87.568248934477
178,9239 S Jeffery Bv,Chicago,IL,"9239 S Jeffery Bv, Chicago, IL",60617,41.72740437302,-87.575399139907
179,2320 E 93rd St,Chicago,IL,"2320 E 93rd St, Chicago, IL",60617,41.726272464739,-87.567846265241
180,9239 S Jeffery Bv,Chicago,IL,"9239 S Jeffery Bv, Chicago, IL",60617,41.72740437302,-87.575399139907
181,2650 E 95th St,Chicago,IL,"2650 E 95th St, Chicago, IL",60617,41.722725556743,-87.558824106084
182,2650 E 95th St,Chicago,IL,"2650 E 95th St, Chicago, IL",60617,41.722725556743,-87.558824106084
183,9729 S Yates Bv,Chicago,IL,"9729 S Yates Bv, Chicago, IL",60617,41.718062205543,-87.564572145684
184,9928 S Crandon Ave,Chicago,IL,"9928 S Crandon Ave, Chicago, IL",60617,41.714902778054,-87.567104939511
185,9928 S Crandon Ave,Chicago,IL,"9928 S Crandon Ave, Chicago, IL",60617,41.714902778054,-87.567104939511
186,9239 S Jeffery Ave,Chicago,IL,"9239 S Jeffery Ave, Chicago, IL",60617,41.72740437302,-87.575399139907
187,2401 E 100th St,Chicago,IL,"2401 E 100th St, Chicago, IL",60617,41.713452785083,-87.565715321748
188,9928 S Crandon Ave,Chicago,IL,"9928 S Crandon Ave, Chicago, IL",60617,41.714902778054,-87.567104939511
189,9928 S Crandon Ave,Chicago,IL,"9928 S Crandon Ave, Chicago, IL",60617,41.714902778054,-87.567104939511
190,7156 S Dorchester Ave,Chicago,IL,"7156 S Dorchester Ave, Chicago, IL",60619,41.764394793278,-87.591028266452
191,7655 S Ingleside Ave,Chicago,IL,"7655 S Ingleside Ave, Chicago, IL",60619,41.755602650724,-87.60157276762
192,1200 E 78th St,Chicago,IL,"1200 E 78th St, Chicago, IL",60619,41.753272461616,-87.59544103458
193,1955 E 75th St,Chicago,IL,"1955 E 75th St, Chicago, IL",60649,41.758815043206,-87.576695384961
194,1955 E 75th St,Chicago,IL,"1955 E 75th St, Chicago, IL",60649,41.758815043206,-87.576695384961
195,8050 S Chappel Ave,Chicago,IL,"8050 S Chappel Ave, Chicago, IL",60617,41.748877106247,-87.574791286206
196,1767 E 79th St,Chicago,IL,"1767 E 79th St, Chicago, IL",60649,41.751488282794,-87.580783986108
197,9011 S Stony Island Ave,Chicago,IL,"9011 S Stony Island Ave, Chicago, IL",60617,41.731509832579,-87.585018663807
198,8045 S Kenwood Ave,Chicago,IL,"8045 S Kenwood Ave, Chicago, IL",60619,41.748781084748,-87.591699749101
199,7655 S Ingleside Ave,Chicago,IL,"7655 S Ingleside Ave, Chicago, IL",60619,41.755602650724,-87.60157276762
200,8505 S Ingleside Ave,Chicago,IL,"8505 S Ingleside Ave, Chicago, IL",60619,41.740228722712,-87.601209933792
201,1215 E 83rd St,Chicago,IL,"1215 E 83rd St, Chicago, IL",60619,41.744009966288,-87.596960242975
202,1215 E 83rd St,Chicago,IL,"1215 E 83rd St, Chicago, IL",60619,41.744009966288,-87.596960242975
203,8409 S Stony Island,Chicago,IL,"8409 S Stony Island, Chicago, IL",60617,41.742009927575,-87.585245277621
204,1419 E 89th St,Chicago,IL,"1419 E 89th St, Chicago, IL",60619,41.733154801037,-87.58972003857
205,1419 E 89th St,Chicago,IL,"1419 E 89th St, Chicago, IL",60619,41.733154801037,-87.58972003857
206,8800 S Clyde Ave,Chicago,IL,"8800 S Clyde Ave, Chicago, IL",60617,41.736093036739,-87.573350503285
207,9401 S Stony Island Ave,Chicago,IL,"9401 S Stony Island Ave, Chicago, IL",60617,41.723312670502,-87.585069012587
208,8850 S Cottge Grv,Chicago,IL,"8850 S Cottge Grv, Chicago, IL",60619,41.733653226078,-87.604827171251
209,8850 S Cottge Grv,Chicago,IL,"8850 S Cottge Grv, Chicago, IL",60619,41.733653226078,-87.604827171251
210,501 E 90th St,Chicago,IL,"501 E 90th St, Chicago, IL",60619,41.73100887496,-87.611879994689
211,9130 S University Ave,Chicago,IL,"9130 S University Ave, Chicago, IL",60619,41.728574969706,-87.596224166721
212,9755 S Greenwood Ave,Chicago,IL,"9755 S Greenwood Ave, Chicago, IL",60628,41.717561981144,-87.59698228973
